"016","Chef Nightlight","Let this chef whip up some delightful dreams for you!","misc","21116","40","6","15.99","misc/chef.jpg","0.15","5","0","4","misc chef food"
"017","Furry Lightbulb","This furry lightbulb is definitely softer than it is bright!","misc","21117","30","12","24.99","misc/furry.jpg","0.02","6","0","4","furry misc bulb pink"
"018","Icecream Lightbulb","This bulb is sure to make you want a soft-serve cone. ","misc","21118","55","5","18.99","misc/icecream.jpg","0.03","7","0","3","icecream bulb misc cone"
"019","Brain Bulb","Braaaains! Comes in 3 different shapes for any thinker.","misc","21119","55","14","27.99","misc/brainbulb.jpg","0.09","7","0","5","misc bulb brain"
"020","Wooden Bulb","The wooden lightbulb is perfect for your log cabin.","misc","21120","55","3","7.99","misc/wood.jpg","5","6","0","4","misc wooden wood bulb light cabin"
"021","Crystal Wall Sconce","Top selling wall sconce of the year. Recommended by top interior designers around the world. Comes i","wall","51111","20","200","250","wall/NightSkySconce.jpg","5","36","0","5","sconce wall lamp crystal "
"022","The Forte","An exterior wall sconce in a black finish with clear crackle glass. This light holds 3 candle bulbs.","wall","51112","30","150","200","wall/forte.jpg","10","24","0","4","sconce wall lamp outdoors night lamp"
"023","Hubbardton Forge","A light medium outdoor wall washer from the Banded Collection","wall","51113","33","200","280","wall/hubbardtonforge.jpg","10","20","0","5","wall sconce wall lamp fluorescent incandescent"
"024","The Kichler","A transitional one light outdoor Wall Sconce from the Seaside collection","wall","51114","40","20","59","wall/kichler.jpg","10","12","0","4","wall sconce outdoors incandescent wall lamp"
"025","The Kovacs","A contemporary modern down lighting wall sconce from the second marriage collection","wall","51115","12","70","110","wall/Kovacs.jpg","15","36","0","5","wall sconce wall lamp stainless steel modern "
"026","Maxim Light","An up lighting wall sconce from the Loft Collection","wall","51116","14","20","40","wall/maxim.jpg","5","12","0","5","wall sconce incadescent flourescent bronze cast iron"
"027","Minka","A bronze transitional wall washer sconce from the Aspen Collection","wall","51117","23","40","80","wall/minka.jpg","8","12","0","5","wall sconce"
"028","Progress Lighting","A contemporary modern two light outdoor wall sconce from the Aluminum Collection","wall","51118","13","40","95","wall/progresslighting.jpg","7","16","0","5","wall sconce modern contemporary outdoors two lights aluminum"
"029","The Quoizel","A medium outdoor incadescent wall sconce from the Hillcrest collection","wall","51119","55","80","130","wall/quoizel.jpg","5","16","0","5","wall sconce outdoors incandescent wall lamp imperial bronze"
"030","The Savoy House","Single-light traditional outdoor dark sky wall lantern with energy star qualification. Finished in o","wall","51120","10","200","284","wall/savoyhouse.jpg","6","16","0","4","wall sconce energy saver wall lantern copper "
"031","The Great Outdoors","A contemporary modern light outdoor wall sconce from the Bay View Collection","wall","51121","5","50","110","wall/thegreatoutdoors.jpg","10","24","0","5","wall sconce stainless steel metal wall lamp"
"032","Anime Bear Lamp","Fun bear in sweater for any anime fan.","table","31111","10","10","45.99","table/animebearlamp.jpeg","10","10","0","3","table anime bear lamp"
"033","Anime Lamp","Japanese styling cat lamp.","table","31112","10","10","42.99","table/animelamp.jpeg","10","24","0","2","table anime lamp"
"034","Bear Lamp","Rustic ceramic bear lamp","table","31113","6","10","14.99","table/bearlamp.jpeg","20.03","16","0","5","table bear lamp"
"035","Cat Lamp","Multi colored cat lamp.","table","31114","10","10","84.99","table/catlamp.jpeg","15","16","0","5","table cat lamp"
"036","Chess Lamp","A chess board with illuminated pieces.","table","31115","4","10","27.99","table/chesslamp.jpeg","10","10","0","4","table chess lamp"
"037","Color Dog Lamp","Multi colored dog lamp.","table","31116","8","10","52.99","table/colordoglamp.jpeg","5","24","0","3","table color dog lamp"
"038","Cereal Lamp","For the people that love lamps and cereal.","table","31117","12","10","82.99","table/cereallamp.jpeg","6","24","0","4","table cereal bowl lamp"
"039","New Wave Dog Lamp","Contemporary dog like design.","table","31118","16","10","104.99","table/doglamp.jpeg","7","36","0","5","table dog lamp"
"040","Hinged Steam Punk Lamp","Steampunk style hinged lamp.","table","31119","10","10","62.59","table/hingessteampunklamp.jpeg","6","24","0","5","table hinges steampunk lamo"
"041","Ice Cream Lamp","Giant icecream cone replica.","table","31110","14","10","44.99","table/icecreamlamp.jpeg","5","36","0","4","icecream lamp table"
"042","Long Steam Punk Lamp","Wide steampunk styled lamp.","table","31120","16","10","164.99","table/longsteampunklamp.jpeg","19","16","0","5","table long steampunk lamp"
"043","Pour Lamp","Purple cup pouring liquid.","table","31121","18","10","34.99","table/pourlamp.jpeg","10","20","0","3","table pour liquid lamp"
"044","Single Steam Punk Lamp","Steampunk lamp with one bulb.","table","31122","20","10","84.99","table/singlesteampunklamp.jpeg","5","24","0","5","table single steampunk lamp"
"045","Triple Steam Punk Lamp","Three bulb steampunk lamp.","table","31123","4","10","252.99","table/triplesteampunklamp.jpeg","9","36","0","4","table triple steampunk lamp"
"046","Wiener Dog Lamp","Antique styled weiner dog.","table","31134","10","10","74.99","table/wienerdorlamp.jpeg","13","36","0","2","table dog lamo"
"047","Chilean Red","This grand chandelier was made to look like an upside-down tree. It's eye-catching with its 1,500 Sw","ceiling","41111","7","500","2500","ceiling/chilean_red2.png","400","10","0","4","chandelier ceiling art unique crystal Swaroski tree rugged modern"
"048","Funky Chunky","Very groovy 1960s swag lamp made with big chunks of colorful, translucent acrylic resin. Open at the","ceiling","41112","80","50","150","ceiling/funkychunky2.png","100","11","0","3","chandelier ceiling acrylic colors funky swag colorful"
"049","Rainbow Flowers","A bouquet of rainbow colors of flowers and leaves. The light goes through these polyester rainbow fl","ceiling","41113","90","50","129","ceiling/rainbowflowers2.png","100","10","0","4","chandelier ceiling polyester rainbow flowers colorful colors"
"050","Hado","This is a luminarie pendant celing mounted light. It's made of Polypropilene plastic, very durable. ","ceiling","41114","10","45","125","ceiling/hado.png","50","17","0","2","chandelier ceiling plastic swirls pendant mounted"
"051","Double Headed Claylight","This lamp is made of two egg shaped perforated white clay shades that throw light textures on the wa","ceiling","41115","5","60","350","ceiling/claylight.png","60","15","0","3","chandelier ceiling shades clay white funky ceramic"
"052","Clear Bubbles","A gathering of crystal clear balls in various sizes made from handmade polyester.The Pendant lightin","ceiling","41116","60","50","110","ceiling/bubbles2.png","50","13","0","5","chandelier ceiling glass bubbles polyester elegant circles"
"053","Transparent Flowers","A bouquet of happy see through flowers in natural white shades. The light that goes through these po","ceiling","41117","34","50","240","ceiling/flowers.png","15","19","0","3","chandelier ceiling flowers polyester clear"
"054","Spaghetti Arms","This flush mount ceiling fixture features a Chrome finish and an adjustable diameter.","ceiling","41118","26","60","348","ceiling/spaghetti2.png","50","28","0","4","chandelier ceiling chrome mounted "
"055","Novelty Hockey","Fun for all ages! These whimsical lighting fixtures will put a smile on you and your child's face wi","ceiling","41119","77","50","290","ceiling/hockey.png","20","12","0","4","chandelier ceiling hockey fun sports "
"056","Novelty Choo Choo","Hanging pendant ceiling light. Comes with both blue and gray wheels. Frosted glass shaped panels and","ceiling","41120","55","60","238","ceiling/train.png","22","16","0","5","chandelier ceiling novelty train kids"
"057","Twisty Flowers","Twisty base, made of solid wood. Finest floor lamp for Grams.","floor","21111","66","50","130","floor/twisty-flower.jpg","7","55","0","5","floor lamp twist flower"
"058","Red Polka Dots","Aluminum floor lamp with beautiful 180 degree bend and blood red art.","floor","21112","53","70","130","floor/red-polka-dots.jpg","9","65","0","4","floor red polka dots"
"059","Jelly Lamp ","This lamp resembles a Jelly Fish.","floor","21113","45","60","140","floor/jelly-lamp.jpg","8","53","0","5","floor ocean animal jelly fish"
"060","Blue Tube","Floor lamp with crazy blue vortex shade.","floor","21114","85","50","90","floor/blue-tube.jpg","9","60","0","3","floor blue tube "
"061","Cat Painting","The weirdest and most awkward lamp in America can be yours.","floor","21115","12","40","90","floor/weird-cat-painting.jpg","8","60","0","5","floor cat painting animal"
"062","Tall & Purple","Tall and elegantly purple with interestingly tacky.","floor","21116","50","40","100","floor/tall-purple.jpg","7","60","0","4","floor purple color elegant"
"063","Cosmic Bro!","It's totally radical and swirly like woah!","floor","21117","20","30","85","floor/cosmic.jpg","8","60","0","5","floor cosmic space"
"064","Boring Ellipses","The most boring floor lamp in America can be yours ","floor","21118","45","40","95.99","floor/boring-ellipses.jpg","9","60","0","4","floor ellipses "
"065","Tall Fat & Teal","Wide horizontally and then tall vertically. What more do you need?","floor","21119","20","30","89","floor/tall-fat-teal.jpg","7","58","0","5","floor tall teal color"
"066","Square Leaves","Multicolor leaves make this rectangular floor lamp really neat.","floor","21120","21","40","99.99","floor/square-leaves.jpg","7","47","0","3","floor leaves nature"
"067",,,,"0","0",,,,,"0","0","0",
